date,price
15/02/2022,44575.20313
16/02/2022,43961.85938
17/02/2022,40538.01172
18/02/2022,40030.97656
19/02/2022,40122.15625
20/02/2022,38431.37891
21/02/2022,37075.28125
22/02/2022,38286.02734
23/02/2022,37296.57031
24/02/2022,38332.60938
25/02/2022,39214.21875
26/02/2022,39105.14844
27/02/2022,37709.78516
28/02/2022,43193.23438
01/03/2022,44354.63672
02/03/2022,43924.11719
03/03/2022,42451.78906
04/03/2022,39137.60547
05/03/2022,39400.58594
06/03/2022,38419.98438
07/03/2022,38062.03906
08/03/2022,38737.26953
09/03/2022,41982.92578
10/03/2022,39437.46094
11/03/2022,38794.97266
12/03/2022,38904.01172
13/03/2022,37849.66406
14/03/2022,39666.75391
15/03/2022,39338.78516
16/03/2022,41143.92969
17/03/2022,40951.37891
18/03/2022,41801.15625
19/03/2022,42190.65234
20/03/2022,41247.82422
21/03/2022,41077.99609
22/03/2022,42358.80859
23/03/2022,42892.95703
24/03/2022,43960.93359
25/03/2022,44348.73047
26/03/2022,44500.82813
27/03/2022,46820.49219
28/03/2022,47128.00391
29/03/2022,47465.73047
30/03/2022,47062.66406
31/03/2022,45538.67578
01/04/2022,46281.64453
02/04/2022,45868.94922
03/04/2022,46453.56641
04/04/2022,46622.67578
05/04/2022,45555.99219
06/04/2022,43206.73828
07/04/2022,43503.84766
08/04/2022,42287.66406
09/04/2022,42782.13672
10/04/2022,42207.67188
11/04/2022,39521.90234
12/04/2022,40127.18359
13/04/2022,41166.73047
14/04/2022,39935.51563
15/04/2022,40553.46484
16/04/2022,40424.48438
17/04/2022,39716.95313
18/04/2022,40826.21484
19/04/2022,41502.75
20/04/2022,41374.37891
21/04/2022,40527.36328
22/04/2022,39740.32031
23/04/2022,39486.73047
24/04/2022,39469.29297
25/04/2022,40458.30859
26/04/2022,38117.46094
27/04/2022,39241.12109
28/04/2022,39773.82813
29/04/2022,38609.82422
30/04/2022,37714.875
01/05/2022,38469.09375
02/05/2022,38529.32813
03/05/2022,37750.45313
04/05/2022,39698.37109
05/05/2022,36575.14063
06/05/2022,36040.92188
07/05/2022,35501.95313
08/05/2022,34059.26563
09/05/2022,30296.95313
10/05/2022,31022.90625
11/05/2022,28936.35547
12/05/2022,29047.75195
13/05/2022,29283.10352
14/05/2022,30101.26563
15/05/2022,31305.11328
16/05/2022,29862.91797
17/05/2022,30425.85742
18/05/2022,28720.27148
19/05/2022,30314.33398
20/05/2022,29200.74023
21/05/2022,29432.22656
22/05/2022,30323.72266
23/05/2022,29098.91016
24/05/2022,29655.58594
25/05/2022,29562.36133
26/05/2022,29267.22461
27/05/2022,28627.57422
28/05/2022,28814.90039
29/05/2022,29445.95703
30/05/2022,31726.39063
31/05/2022,31792.31055
01/06/2022,29799.08008
02/06/2022,30467.48828
03/06/2022,29704.39063
04/06/2022,29832.91406
05/06/2022,29906.66211
06/06/2022,31370.67188
07/06/2022,31155.47852
08/06/2022,30214.35547
09/06/2022,30111.99805
10/06/2022,29083.80469
11/06/2022,28360.81055
12/06/2022,26762.64844
13/06/2022,22487.38867
14/06/2022,22206.79297
15/06/2022,22572.83984
16/06/2022,20381.65039
17/06/2022,20471.48242
18/06/2022,19017.64258
19/06/2022,20553.27148
20/06/2022,20599.53711
21/06/2022,20710.59766
22/06/2022,19987.0293
23/06/2022,21085.87695
24/06/2022,21231.65625
25/06/2022,21502.33789
26/06/2022,21027.29492
27/06/2022,20735.47852
28/06/2022,20280.63477
29/06/2022,20104.02344
30/06/2022,19784.72656
01/07/2022,19269.36719
02/07/2022,19242.25586
03/07/2022,19297.07617
04/07/2022,20231.26172
05/07/2022,20190.11523
06/07/2022,20548.24609
07/07/2022,21637.58789
08/07/2022,21731.11719
09/07/2022,21592.20703
10/07/2022,20860.44922
11/07/2022,19970.55664
12/07/2022,19323.91406
13/07/2022,20212.07422
14/07/2022,20569.91992
15/07/2022,20836.32813
16/07/2022,21190.31641
17/07/2022,20779.34375
18/07/2022,22485.68945
19/07/2022,23389.43359
20/07/2022,23231.73242
21/07/2022,23164.62891
22/07/2022,22714.97852
23/07/2022,22465.47852
24/07/2022,22609.16406
25/07/2022,21361.70117
26/07/2022,21239.75391
27/07/2022,22930.54883
28/07/2022,23843.88672
29/07/2022,23804.63281
30/07/2022,23656.20703
31/07/2022,23336.89648
01/08/2022,23314.19922
02/08/2022,22978.11719
03/08/2022,22846.50781
04/08/2022,22630.95703
05/08/2022,23289.31445
06/08/2022,22961.2793
07/08/2022,23175.89063
08/08/2022,23809.48633
09/08/2022,23164.31836
10/08/2022,23947.64258
11/08/2022,23957.5293
12/08/2022,24402.81836
13/08/2022,24424.06836
14/08/2022,24319.33398
15/08/2022,24136.97266
16/08/2022,23883.29102
17/08/2022,23335.99805
18/08/2022,23212.73828
19/08/2022,20877.55273
20/08/2022,21166.06055
21/08/2022,21534.12109
22/08/2022,21398.9082
23/08/2022,21528.08789
24/08/2022,21395.01953
25/08/2022,21600.9043
26/08/2022,20260.01953
27/08/2022,20041.73828
28/08/2022,19616.81445
29/08/2022,20297.99414
30/08/2022,19796.80859
31/08/2022,20049.76367
01/09/2022,20127.14063
02/09/2022,19969.77148
03/09/2022,19832.08789
04/09/2022,19986.71289
05/09/2022,19812.37109
06/09/2022,18837.66797
07/09/2022,19290.32422
08/09/2022,19329.83398
09/09/2022,21381.15234
10/09/2022,21680.53906
11/09/2022,21769.25586
12/09/2022,22370.44922
13/09/2022,20296.70703
14/09/2022,20241.08984
15/09/2022,19701.21094
16/09/2022,19772.58398
17/09/2022,20127.57617
18/09/2022,19419.50586
19/09/2022,19544.12891
20/09/2022,18890.78906
21/09/2022,18547.40039
22/09/2022,19413.55078
23/09/2022,19297.63867
24/09/2022,18937.01172
25/09/2022,18802.09766
26/09/2022,19222.67188
27/09/2022,19110.54688
28/09/2022,19426.7207
29/09/2022,19573.05078
30/09/2022,19431.78906
01/10/2022,19312.0957
02/10/2022,19044.10742
03/10/2022,19623.58008
04/10/2022,20336.84375
05/10/2022,20160.7168
06/10/2022,19955.44336
07/10/2022,19546.84961
08/10/2022,19416.56836
09/10/2022,19446.42578
10/10/2022,19141.48438
11/10/2022,19051.41797
12/10/2022,19157.44531
13/10/2022,19382.9043
14/10/2022,19185.65625
15/10/2022,19067.63477
16/10/2022,19268.09375
17/10/2022,19550.75781
18/10/2022,19334.41602
19/10/2022,19139.53516
20/10/2022,19053.74023
21/10/2022,19172.46875
22/10/2022,19208.18945
23/10/2022,19567.00781
24/10/2022,19345.57227
25/10/2022,20095.85742
26/10/2022,20770.44141
27/10/2022,20285.83594
28/10/2022,20595.35156
29/10/2022,20818.47656
30/10/2022,20635.60352
31/10/2022,20495.77344
01/11/2022,20485.27344
02/11/2022,20159.50391
03/11/2022,20209.98828
04/11/2022,21147.23047
05/11/2022,21282.69141
06/11/2022,20926.48633
07/11/2022,20602.81641
08/11/2022,18541.27148
09/11/2022,15880.78027
10/11/2022,17586.77148
11/11/2022,17034.29297
12/11/2022,16799.18555
13/11/2022,16353.36523
14/11/2022,16618.19922
15/11/2022,16884.61328
16/11/2022,16669.43945
17/11/2022,16687.51758
18/11/2022,16697.77734
19/11/2022,16711.54688
20/11/2022,16291.83203
21/11/2022,15787.28418
22/11/2022,16189.76953
23/11/2022,16610.70703
24/11/2022,16604.46484
25/11/2022,16521.8418
26/11/2022,16464.28125
27/11/2022,16444.62695
28/11/2022,16217.32227
29/11/2022,16444.98242
30/11/2022,17168.56641
01/12/2022,16967.13281
02/12/2022,17088.66016
03/12/2022,16908.23633
04/12/2022,17130.48633
05/12/2022,16974.82617
06/12/2022,17089.50391
07/12/2022,16848.12695
08/12/2022,17233.47461
09/12/2022,17133.15234
10/12/2022,17128.72461
11/12/2022,17104.19336
12/12/2022,17206.4375
13/12/2022,17781.31836
14/12/2022,17815.65039
15/12/2022,17364.86523
16/12/2022,16647.48438
17/12/2022,16795.0918
18/12/2022,16757.97656
19/12/2022,16439.67969
20/12/2022,16906.30469
21/12/2022,16817.53516
22/12/2022,16830.3418
23/12/2022,16796.95313
24/12/2022,16847.75586
25/12/2022,16841.98633
26/12/2022,16919.80469
27/12/2022,16717.17383
28/12/2022,16552.57227
29/12/2022,16642.3418
30/12/2022,16602.58594
31/12/2022,16547.49609
01/01/2023,16625.08008
02/01/2023,16688.4707
03/01/2023,16679.85742
04/01/2023,16863.23828
05/01/2023,16836.73633
06/01/2023,16951.96875
07/01/2023,16955.07813
08/01/2023,17091.14453
09/01/2023,17196.55469
10/01/2023,17446.29297
11/01/2023,17934.89648
12/01/2023,18869.58789
13/01/2023,19909.57422
14/01/2023,20976.29883
15/01/2023,20880.79883
16/01/2023,21169.63281
17/01/2023,21161.51953
18/01/2023,20688.78125
19/01/2023,21086.79297
20/01/2023,22676.55273
21/01/2023,22777.625
22/01/2023,22720.41602
23/01/2023,22934.43164
24/01/2023,22636.46875
25/01/2023,23117.85938
26/01/2023,23032.77734
27/01/2023,23078.72852
28/01/2023,23031.08984
29/01/2023,23774.56641
30/01/2023,22840.13867
31/01/2023,23139.2832
01/02/2023,23723.76953
02/02/2023,23471.87109
03/02/2023,23449.32227
04/02/2023,23331.84766
05/02/2023,22955.66602
06/02/2023,22760.10938
07/02/2023,23264.29102
08/02/2023,22939.39844
09/02/2023,21819.03906
10/02/2023,21651.18359
11/02/2023,21870.875
12/02/2023,21788.20313
13/02/2023,21808.10156
14/02/2023,22220.80469
15/02/2023,22789.54102
